Date,Open,High,Low,Close,AdjClose,Volume
1992-04-20,22.125000,22.656250,22.031250,22.031250,14.267408,30813600
1992-04-27,21.968750,23.031250,21.843750,22.656250,14.672153,28538800
1992-05-04,23.125000,23.562500,23.031250,23.281250,15.076893,38942400
1992-05-11,23.375000,23.593750,22.750000,22.906250,15.028796,29562400
1992-05-18,22.906250,23.187500,22.625000,22.937500,15.049300,21314800
1992-05-25,22.812500,23.000000,22.531250,22.687500,14.885275,14897200
1992-06-01,22.625000,22.812500,22.062500,22.593750,14.823773,23666800
1992-06-08,22.593750,23.468750,22.531250,23.250000,15.254332,33611200
1992-06-15,23.125000,23.968750,23.031250,23.750000,15.582376,43855600
1992-06-22,23.687500,24.562500,23.656250,24.312500,15.951438,35785200
1992-06-29,24.468750,24.656250,24.218750,24.218750,15.889923,20648400
1992-07-06,24.281250,24.687500,24.125000,24.406250,16.012957,23248400
1992-07-13,24.500000,25.093750,23.656250,23.750000,15.582376,50782400
1992-07-20,23.312500,23.562500,23.093750,23.187500,15.213332,36157600
1992-07-27,23.187500,23.875000,23.093750,23.687500,15.541379,22209200
1992-08-03,23.625000,23.812500,21.656250,21.781250,14.290692,40701600
1992-08-10,21.812500,22.281250,21.812500,22.093750,14.689705,27454400
1992-08-17,22.218750,22.281250,21.375000,21.500000,14.294936,24765200
1992-08-24,21.406250,21.843750,21.250000,21.812500,14.502716,24403600
1992-08-31,21.875000,21.937500,21.468750,21.500000,14.294936,18870800
1992-09-07,21.468750,22.062500,21.468750,22.000000,14.627381,14970400
1992-09-14,22.156250,22.187500,20.625000,20.875000,13.879384,50746400
1992-09-21,20.968750,21.156250,20.500000,20.562500,13.671606,28477200
1992-09-28,20.500000,20.718750,19.562500,19.625000,13.048282,46877200
1992-10-05,19.531250,20.093750,18.875000,19.625000,13.048282,37898400
1992-10-12,19.656250,20.000000,17.218750,17.687500,11.760076,81172400
1992-10-19,17.531250,17.562500,16.937500,17.281250,11.489971,58775200
1992-10-26,17.125000,17.187500,16.250000,16.718750,11.115979,59096800
1992-11-02,16.750000,17.468750,16.250000,16.562500,11.012090,46222400
1992-11-09,16.562500,17.000000,16.000000,16.218750,10.978168,50131600
1992-11-16,16.187500,16.375000,15.218750,15.562500,10.533960,54062800
1992-11-23,15.593750,16.562500,15.562500,16.500000,11.168539,32342000
1992-11-30,16.968750,17.218750,16.656250,16.750000,11.337759,38218000
1992-12-07,16.812500,16.843750,15.343750,15.593750,10.555116,50486800
1992-12-14,15.593750,15.843750,12.562500,12.843750,8.693691,175357600
1992-12-21,12.812500,13.250000,12.187500,13.187500,8.926372,77894800
1992-12-28,13.218750,13.250000,12.312500,12.593750,8.524473,63746400
1993-01-04,12.937500,12.968750,11.468750,11.625000,7.868745,78044800
1993-01-11,11.687500,12.468750,11.687500,12.062500,8.164884,78436400
1993-01-18,12.218750,12.718750,11.468750,12.156250,8.228331,73729600
1993-01-25,12.187500,13.312500,11.875000,12.875000,8.714847,80975200
1993-02-01,13.000000,13.250000,12.687500,13.000000,8.799449,57564400
1993-02-08,13.062500,13.625000,12.625000,12.687500,8.679605,57870000
1993-02-15,12.625000,12.812500,12.187500,12.625000,8.636849,35959600
1993-02-22,12.625000,13.718750,12.625000,13.593750,9.299578,44438000
1993-03-01,13.687500,13.968750,13.406250,13.812500,9.449227,46051200
1993-03-08,13.875000,14.281250,13.406250,13.906250,9.513359,56394400
1993-03-15,14.031250,14.062500,13.406250,13.437500,9.192689,29406800
1993-03-22,13.375000,13.562500,12.531250,12.843750,8.786501,48486800
1993-03-29,13.000000,13.281250,12.468750,13.156250,9.000278,47714000
1993-04-05,13.156250,13.250000,12.562500,12.562500,8.594092,22219600
1993-04-12,12.687500,12.968750,12.125000,12.250000,8.380310,40591600
1993-04-19,12.562500,12.656250,11.843750,11.937500,8.166523,44757200
1993-04-26,12.031250,12.687500,11.968750,12.156250,8.316174,38418000
1993-05-03,12.281250,12.468750,11.937500,12.156250,8.316174,26448800
1993-05-10,12.218750,12.281250,11.781250,11.968750,8.278446,26691200
1993-05-17,11.968750,12.531250,11.875000,12.093750,8.364903,37926400
1993-05-24,12.156250,13.500000,12.125000,13.187500,9.121415,60216800
1993-05-31,13.312500,13.593750,12.937500,13.500000,9.337564,35733200
1993-06-07,13.500000,13.500000,12.875000,13.125000,9.078188,28877600
1993-06-14,13.062500,13.125000,12.218750,12.343750,8.537821,40851600
1993-06-21,12.531250,12.531250,12.125000,12.437500,8.602662,25169600
